URL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
https://www.sec.gov/Archives/edgar/data/1830547/000110465921047648/tm2110201d1_10k.htm,digital asset issuer,digital asset audit &amp; analytics,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1834336/000121390022015853/f10k2021_finservacq2.htm,&#9679;,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1803914/000180391422000011/ply-20211231.htm,digital assets impairment,"digital assets, net","digital assets, net",,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/837852/000110465921044740/idex-20201231x10k.htm,digital asset management services,digital asset management services,digital asset management services,digital asset management services,digital asset management services,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1845550/000119312522091874/d284904d10k.htm,cryptocurrency financial services,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1827899/000141057822000866/cptk-20211231x10k.htm,cryptocurrency trading platform,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1862463/000119312522091755/d253085d10k.htm,&#8226;&#8195;&#8202;digital assets banking,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1842373/000114036122012279/brhc10034908_10k.htm,latin america digital holdings ltd.,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/827876/000166357721000668/clsk10k.htm,"
    ",competition from other methods of investing in cryptocurrencies;,the irreversibility of incorrect or fraudulent bitcoin transactions;,number of bitcoins held,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1218683/000121390022013830/f10k2021_mawsoninfra.htm,cryptocurrency mining revenue&#160; &#8239;,cryptocurrencies&#160; &#8239;,any decrease in the incentive for bitcoin mining;,opening number of bitcoin held,"
    ",number of bitcoin sold,closing number of bitcoin held,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1844971/000095017022005214/gree-20211231.htm,gain on sale of digital assets,digital assets,gain on sale of digital assets,gain on sale of digital assets,property and equipment purchased with digital assets,cryptocurrency datacenter,cryptocurrency datacenter,cryptocurrency datacenter,cryptocurrency datacenter,cryptocurrency datacenter,cryptocurrency datacenter,cryptocurrency datacenter,cryptocurrency datacenter,cryptocurrency mining metrics,&#160;&#160;cryptocurrency datacenter,and average bitcoin price,bitcoins produced,average bitcoin price,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1851909/000119312522050531/d269907d10k.htm,cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1820302/000182030222000005/bakkt-20211231.htm,"less: non-recurring bitcoin sale income, net",,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1665300/000162828022008722/phun-20211231.htm,decreased user and investor confidence in digital assets;,negative publicity or events relating to digital assets;,add back:  impairment of digital assets,impairment of digital assets,digital assets,impairment of digital assets,impairment of digital assets ,purchases of digital assets,digital asset original,digital asset impairment,digital asset carrying,digital asset original,digital asset impairment,digital asset carrying,digital assets,unrealized loss on digital assets,bitcoin,ethereum,,,,,,,,
https://www.sec.gov/Archives/edgar/data/862651/000149315221015566/form10-k.htm,"
    ",realized gain (loss) on cryptocurrency,preferred stock issued for cryptocurrency,realized (gain) loss on cryptocurrency,preferred shares issued in exchange for cryptocurrency,dividends paid with cryptocurrency,unrealized gain on cryptocurrency,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1419275/000118518522000378/greenbox20211231_10k.htm,risks related to the blockchain and cryptocurrency industry; and,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1419275/000118518521000423/greenbox20201231_10k.htm,risks related to the blockchain and cryptocurrency industry; and,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1819035/000162828022004241/mile-20211231.htm,impairment on digital assets,"note 8. digital assets, net","digital assets, net",impairment on digital assets,"digital assets, net",,,,,,,,,,,,,,,,,,,,,
