,fullTimeEmployees,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,revenuePerShare,quickRatio,recommendationMean,enterpriseToRevenue,enterpriseToEbitda,heldPercentInstitutions,priceToBook,beta,enterpriseValue,priceToSalesTrailing12Months,pegRatio,ticker
1,273948,0,0.342,0,,-0.197,0.42387,,,130898000000,,,22.14,-0.416,,0.01107,,,,0.14936,,1567935037440,642630025216,123730001920,533.838,41.279,,,-6.732,,0.20929001,0.2563835,1.094117,-832961380352,,,JPM-PJ
1,24000,0.59359,0.47698003,1,9781999616,0.244,0.55564,11809999872,357,18884000000,8665124864,438,357.82,0.464,1.337,0.19203,36,432.35,205.414,1.39733,480,7328000000,14645999616,19896000512,7.534,20.225,0.857,1.8,18.137,30.555,0.77851,52.512474,1.07745,360853635072,17.670816,1.31,MA
1,490600,0.17309,0.108710006,0.33629,16570999808,0.107,0.15416001,26164000768,304.5,50832000000,11745874944,377,305.08,0.206,1.013,0.20447001,31,376.14,,20.50281,470,2343000064,46269001728,151156998144,2.267,143.413,0.201,2.1,2.344,13.543,0.71719,308.47318,1.044607,354344304640,2.1075883,1.23,HD
1,42595,0.21779,0.115959994,0.40935,33087000576,0.683,0.12197,38513999872,130,66234000000,,181,177.6,3.473,,,28,175.41,24.919,,213,5674999808,34872000512,176843997184,2.914,92.025,,2.3,1.895,8.703,0.65876997,2.5198998,1.135294,335193178112,1.9359307,0.6,CVX
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,40,93707000000,,48,36.19,-0.07,,0.00999,24,48.66,,0.114659995,66,818198020096,585202991104,92223995904,101.553,11.042,,2.2,0.885,,0.72128,1.1976702,1.389215,81611530240,3.2115483,0.68,BAC
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,18.28,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.509,,0.01698,0.6049575,1.389215,-46897340416,2.6765304,,BML-PG
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,18.61,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.557,,0.02456,0.6158785,1.389215,-51327016960,2.7359672,,BML-PH
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,20.25,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.4,,0.09707,0.6701526,1.389215,-36905197568,2.7054162,,BML-PL
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,20.35,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.334,,0.097679995,0.673462,1.389215,-30781968384,2.6209586,,BAC-PE
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,25.36,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.046,,0.22273001,0.8392627,1.389215,-4274828288,2.7484984,,BAC-PB
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,25.24,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.094,,0.22146,0.8352914,1.389215,-8625544192,2.7457643,,BAC-PK
1,208000,0,0.34126,0,-7192999936,0.125,0.36258,,,93707000000,,,20.26,0.347,,0.010679999,,,,0.11778,,778467999744,556123029504,93707001856,96.467,11.033,,,,,0.111590005,0.6704835,1.426653,,2.5003555,,BML-PJ
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,1275.33,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,104.072,,0.59006,42.20571,1.389215,9597916020736,2.7196734,,BAC-PL
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,19.77,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.626,,,0.6542675,1.389215,-57772519424,,,BAC-PO
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,22.63,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.5,,,,1.389215,-46090043392,,,BAC-PS
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,23.1444,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.268,,0.20165001,0.7659397,1.389215,-24739307520,,,BAC-PM
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,19.54,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.674,,,0.6466559,1.389215,-62203805696,,,BAC-PQ
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,21.91,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.385,,0.1865,0.72508854,1.389215,-35535527936,,,BAC-PN
1,208000,0,0.33608,0,-295000000,-0.06,0.35445,,,93707000000,,,19.33,-0.07,,0.00999,,,,0.114659995,,818198020096,585202991104,92223995904,101.553,11.042,,,-0.666,,0.29219,0.63970613,1.389215,-61398118400,,,BAC-PP
1,35000,0.36563,0.20903,0.7556,8062499840,0.148,0.30993998,10721399808,304.28,21345300000,4736287744,304.28,301.65,0.409,1.267,0.12117,1,304.28,174.931,0.74018997,304.28,2571599872,16551999488,29322799104,2.857,32.376,0.772,2,9.449,25.843,0.84303004,35.27245,0.430392,277075197952,9.840669,5.44,LLY
1,79000,0.33198002,0.25686002,0.60268,11612000256,0.163,0.29684,13320999936,58.42,23298000000,7018749952,70,62.97,0.231,1.179,0.08089,25,69.86,155.363,0.42064,76,10355999744,41700999168,40126001152,2.391,9.286,0.798,2.1,7.805,23.509,0.70774,12.262901,0.657843,313166921728,6.7784944,3.97,KO
1,79000,0.39303002,0.27038,0.62281,32579999744,1.068,0.33025002,31949000704,49,50627000000,30855249920,57,53.2,2.911,1.399,0.09996,23,59.33,53.438,0.31870002,75,31072999424,41394999296,81288003584,5.526,14.513,1.097,2.3,3.525,8.968,0.69549006,3.9436622,0.721568,286521622528,3.6734164,-9.15,PFE
