Time,Incident,Totoal Number of Incidents
03:00:00,"SEX OFFENSES, FORCIBLE",405
03:00:00,OTHER OFFENSES,4890
03:00:00,ARSON,262
03:00:00,FAMILY OFFENSES,9
03:00:00,ASSAULT,4283
04:00:00,ROBBERY,1246
04:00:00,PROSTITUTION,473
04:00:00,FORGERY/COUNTERFEITING,73
04:00:00,LIQUOR LAWS,29
04:00:00,EXTORTION,4
04:00:00,GAMBLING,1
04:00:00,ARSON,219
04:00:00,VEHICLE THEFT,1238
04:00:00,STOLEN PROPERTY,228
04:00:00,LOITERING,21
04:00:00,WARRANTS,1365
04:00:00,SECONDARY CODES,402
04:00:00,MISSING PERSON,364
04:00:00,WEAPON LAWS,317
04:00:00,RECOVERED VEHICLE,160
04:00:00,SUICIDE,15
04:00:00,"SEX OFFENSES, FORCIBLE",226
04:00:00,FAMILY OFFENSES,5
04:00:00,VANDALISM,1942
04:00:00,SUSPICIOUS OCC,962
04:00:00,DISORDERLY CONDUCT,160
04:00:00,BRIBERY,10
04:00:00,"SEX OFFENSES, NON FORCIBLE",2
04:00:00,LARCENY/THEFT,3139
04:00:00,DRUG/NARCOTIC,919
04:00:00,DRUNKENNESS,133
04:00:00,EMBEZZLEMENT,14
04:00:00,BAD CHECKS,3
04:00:00,ASSAULT,2722
04:00:00,RUNAWAY,19
04:00:00,KIDNAPPING,100
04:00:00,TRESPASS,275
04:00:00,OTHER OFFENSES,3677
04:00:00,DRIVING UNDER THE INFLUENCE,109
04:00:00,FRAUD,208
04:00:00,NON-CRIMINAL,2272
04:00:00,BURGLARY,2233
05:00:00,NON-CRIMINAL,2242
05:00:00,MISSING PERSON,490
05:00:00,"SEX OFFENSES, FORCIBLE",184
05:00:00,DRIVING UNDER THE INFLUENCE,62
05:00:00,ARSON,170
05:00:00,ASSAULT,2188
05:00:00,GAMBLING,4
05:00:00,LARCENY/THEFT,3154
05:00:00,SUSPICIOUS OCC,791
05:00:00,DRUG/NARCOTIC,478
05:00:00,DISORDERLY CONDUCT,399
05:00:00,SECONDARY CODES,303
05:00:00,FRAUD,193
05:00:00,LOITERING,91
05:00:00,SUICIDE,23
05:00:00,FAMILY OFFENSES,5
05:00:00,"SEX OFFENSES, NON FORCIBLE",4
05:00:00,TREA,1
05:00:00,TRESPASS,537
05:00:00,RUNAWAY,20
05:00:00,WARRANTS,972
05:00:00,WEAPON LAWS,183
05:00:00,STOLEN PROPERTY,178
05:00:00,BRIBERY,10
05:00:00,BURGLARY,2039
05:00:00,FORGERY/COUNTERFEITING,56
05:00:00,VEHICLE THEFT,1238
05:00:00,EXTORTION,7
05:00:00,BAD CHECKS,2
05:00:00,VANDALISM,1611
05:00:00,RECOVERED VEHICLE,100
05:00:00,LIQUOR LAWS,13
05:00:00,EMBEZZLEMENT,8
05:00:00,OTHER OFFENSES,2859
05:00:00,ROBBERY,1076
05:00:00,PROSTITUTION,577
05:00:00,DRUNKENNESS,45
05:00:00,KIDNAPPING,100
06:00:00,LOITERING,153
06:00:00,FAMILY OFFENSES,9
06:00:00,TREA,1
06:00:00,ASSAULT,2891
06:00:00,DRIVING UNDER THE INFLUENCE,71
06:00:00,EMBEZZLEMENT,13
06:00:00,VANDALISM,1856
06:00:00,VEHICLE THEFT,1830
06:00:00,"SEX OFFENSES, FORCIBLE",160
06:00:00,EXTORTION,9
06:00:00,OTHER OFFENSES,4198
06:00:00,DRUG/NARCOTIC,1340
06:00:00,SUSPICIOUS OCC,1277
06:00:00,MISSING PERSON,1128
06:00:00,ARSON,117
06:00:00,BRIBERY,7
06:00:00,"SEX OFFENSES, NON FORCIBLE",6
06:00:00,RECOVERED VEHICLE,126
06:00:00,BURGLARY,2043
06:00:00,DISORDERLY CONDUCT,1008
06:00:00,FRAUD,366
06:00:00,STOLEN PROPERTY,199
06:00:00,LARCENY/THEFT,4959
06:00:00,WARRANTS,1655
06:00:00,TRESPASS,1175
06:00:00,ROBBERY,1045
06:00:00,WEAPON LAWS,252
06:00:00,FORGERY/COUNTERFEITING,152
06:00:00,DRUNKENNESS,81
06:00:00,KIDNAPPING,81
06:00:00,PORNOGRAPHY/OBSCENE MAT,3
06:00:00,PROSTITUTION,516
06:00:00,NON-CRIMINAL,4184
06:00:00,LIQUOR LAWS,38
06:00:00,RUNAWAY,72
06:00:00,SUICIDE,33
06:00:00,BAD CHECKS,3
06:00:00,GAMBLING,2
06:00:00,SECONDARY CODES,435
07:00:00,BURGLARY,3156
07:00:00,SUICIDE,42
07:00:00,KIDNAPPING,132
07:00:00,BRIBERY,12
07:00:00,OTHER OFFENSES,8344
07:00:00,NON-CRIMINAL,6906
07:00:00,STOLEN PROPERTY,288
07:00:00,PORNOGRAPHY/OBSCENE MAT,1
07:00:00,MISSING PERSON,3596
07:00:00,WEAPON LAWS,445
07:00:00,DRUNKENNESS,165
07:00:00,ASSAULT,4289
07:00:00,VEHICLE THEFT,3143
07:00:00,DRUG/NARCOTIC,3065
07:00:00,SECONDARY CODES,640
07:00:00,RECOVERED VEHICLE,414
07:00:00,FORGERY/COUNTERFEITING,280
07:00:00,RUNAWAY,254
07:00:00,EMBEZZLEMENT,35
07:00:00,"SEX OFFENSES, FORCIBLE",213
07:00:00,DRIVING UNDER THE INFLUENCE,47
07:00:00,GAMBLING,5
07:00:00,TREA,1
07:00:00,DISORDERLY CONDUCT,916
07:00:00,LARCENY/THEFT,7805
07:00:00,WARRANTS,3245
07:00:00,FRAUD,696
07:00:00,PROSTITUTION,268
07:00:00,BAD CHECKS,12
07:00:00,VANDALISM,2518
07:00:00,ARSON,89
07:00:00,LIQUOR LAWS,82
07:00:00,FAMILY OFFENSES,29
07:00:00,EXTORTION,16
07:00:00,SUSPICIOUS OCC,2043
07:00:00,TRESPASS,1275
07:00:00,ROBBERY,939
07:00:00,LOITERING,139
07:00:00,"SEX OFFENSES, NON FORCIBLE",6
08:00:00,TRESPASS,1200
08:00:00,LARCENY/THEFT,13245
08:00:00,DRUNKENNESS,157
08:00:00,DRUG/NARCOTIC,4067
08:00:00,OTHER OFFENSES,12958
08:00:00,NON-CRIMINAL,10320
08:00:00,VANDALISM,3684
08:00:00,ROBBERY,1068
08:00:00,WEAPON LAWS,610
08:00:00,STOLEN PROPERTY,367
08:00:00,RUNAWAY,289
08:00:00,LIQUOR LAWS,117
08:00:00,BAD CHECKS,49
08:00:00,EXTORTION,29
08:00:00,GAMBLING,11
08:00:00,VEHICLE THEFT,4504
08:00:00,ASSAULT,6527
08:00:00,MISSING PERSON,4405
08:00:00,RECOVERED VEHICLE,468
08:00:00,"SEX OFFENSES, FORCIBLE",435
08:00:00,DRIVING UNDER THE INFLUENCE,46
08:00:00,PORNOGRAPHY/OBSCENE MAT,4
08:00:00,FRAUD,1942
08:00:00,SECONDARY CODES,1022
08:00:00,DISORDERLY CONDUCT,688
08:00:00,ARSON,93
08:00:00,SUICIDE,51
08:00:00,BRIBERY,19
08:00:00,EMBEZZLEMENT,214
08:00:00,SUSPICIOUS OCC,3539
08:00:00,BURGLARY,4892
08:00:00,WARRANTS,3813
08:00:00,FORGERY/COUNTERFEITING,1122
08:00:00,KIDNAPPING,157
08:00:00,"SEX OFFENSES, NON FORCIBLE",20
08:00:00,PROSTITUTION,152
08:00:00,LOITERING,127
08:00:00,FAMILY OFFENSES,48
09:00:00,WEAPON LAWS,770
09:00:00,RECOVERED VEHICLE,559
09:00:00,BAD CHECKS,65
09:00:00,SUSPICIOUS OCC,3946
09:00:00,SECONDARY CODES,1078
09:00:00,LARCENY/THEFT,15730
09:00:00,NON-CRIMINAL,11543
09:00:00,FORGERY/COUNTERFEITING,1439
09:00:00,EMBEZZLEMENT,216
09:00:00,LOITERING,99
09:00:00,SUICIDE,69
09:00:00,DRIVING UNDER THE INFLUENCE,58
09:00:00,GAMBLING,11
09:00:00,OTHER OFFENSES,14574
09:00:00,VEHICLE THEFT,4414
09:00:00,MISSING PERSON,3664
09:00:00,VANDALISM,3474
09:00:00,PROSTITUTION,158
09:00:00,BRIBERY,35
09:00:00,DRUG/NARCOTIC,4756
09:00:00,WARRANTS,4448
09:00:00,BURGLARY,4287
09:00:00,FRAUD,2144
09:00:00,DISORDERLY CONDUCT,519
09:00:00,RUNAWAY,230
09:00:00,DRUNKENNESS,175
09:00:00,FAMILY OFFENSES,47
09:00:00,ASSAULT,7210
09:00:00,ROBBERY,1264
09:00:00,KIDNAPPING,203
09:00:00,TRESPASS,1072
09:00:00,"SEX OFFENSES, FORCIBLE",395
09:00:00,STOLEN PROPERTY,392
09:00:00,EXTORTION,32
09:00:00,ARSON,82
09:00:00,"SEX OFFENSES, NON FORCIBLE",20
09:00:00,PORNOGRAPHY/OBSCENE MAT,4
09:00:00,LIQUOR LAWS,121
10:00:00,SUSPICIOUS OCC,3959
10:00:00,FRAUD,2081
10:00:00,FORGERY/COUNTERFEITING,1217
10:00:00,TRESPASS,1031
10:00:00,WEAPON LAWS,817
10:00:00,EMBEZZLEMENT,165
10:00:00,LOITERING,114
10:00:00,"SEX OFFENSES, NON FORCIBLE",13
10:00:00,FAMILY OFFENSES,63
10:00:00,DRUG/NARCOTIC,5350
10:00:00,MISSING PERSON,3686
10:00:00,KIDNAPPING,213
10:00:00,BRIBERY,39
10:00:00,LIQUOR LAWS,150
10:00:00,EXTORTION,62
10:00:00,OTHER OFFENSES,14178
10:00:00,WARRANTS,4837
10:00:00,VANDALISM,3587
10:00:00,RECOVERED VEHICLE,542
10:00:00,"SEX OFFENSES, FORCIBLE",371
10:00:00,TREA,1
10:00:00,PROSTITUTION,190
10:00:00,ARSON,86
10:00:00,SUICIDE,71
10:00:00,BAD CHECKS,59
10:00:00,GAMBLING,20
10:00:00,PORNOGRAPHY/OBSCENE MAT,1
10:00:00,RUNAWAY,235
10:00:00,DISORDERLY CONDUCT,443
10:00:00,ASSAULT,7971
10:00:00,SECONDARY CODES,1097
10:00:00,STOLEN PROPERTY,446
10:00:00,NON-CRIMINAL,12913
10:00:00,ROBBERY,1470
10:00:00,DRUNKENNESS,203
10:00:00,BURGLARY,3982
10:00:00,LARCENY/THEFT,19641
10:00:00,VEHICLE THEFT,4138
10:00:00,DRIVING UNDER THE INFLUENCE,27
11:00:00,LARCENY/THEFT,21646
11:00:00,TRESPASS,995
11:00:00,WEAPON LAWS,945
11:00:00,DISORDERLY CONDUCT,398
11:00:00,LOITERING,117
11:00:00,GAMBLING,29
11:00:00,MISSING PERSON,3454
11:00:00,DRUG/NARCOTIC,5959
11:00:00,WARRANTS,5158
11:00:00,VANDALISM,3395
11:00:00,DRUNKENNESS,290
11:00:00,"SEX OFFENSES, NON FORCIBLE",23
11:00:00,LIQUOR LAWS,161
11:00:00,OTHER OFFENSES,14066
11:00:00,BURGLARY,3771
11:00:00,VEHICLE THEFT,3712
11:00:00,BAD CHECKS,46
11:00:00,PORNOGRAPHY/OBSCENE MAT,2
11:00:00,TREA,1
11:00:00,FAMILY OFFENSES,71
11:00:00,RECOVERED VEHICLE,557
11:00:00,STOLEN PROPERTY,527
11:00:00,PROSTITUTION,216
11:00:00,ARSON,83
11:00:00,FRAUD,1699
11:00:00,KIDNAPPING,178
11:00:00,BRIBERY,32
11:00:00,SUSPICIOUS OCC,4032
11:00:00,ROBBERY,1652
11:00:00,SUICIDE,73
11:00:00,EXTORTION,36
11:00:00,NON-CRIMINAL,12833
11:00:00,FORGERY/COUNTERFEITING,1079
11:00:00,"SEX OFFENSES, FORCIBLE",349
11:00:00,EMBEZZLEMENT,119
11:00:00,ASSAULT,8482
11:00:00,SECONDARY CODES,1170
11:00:00,RUNAWAY,213
11:00:00,DRIVING UNDER THE INFLUENCE,51
12:00:00,ASSAULT,10516
12:00:00,RECOVERED VEHICLE,609
12:00:00,EMBEZZLEMENT,515
12:00:00,PROSTITUTION,486
12:00:00,TREA,1
12:00:00,VEHICLE THEFT,5484
12:00:00,PORNOGRAPHY/OBSCENE MAT,4
12:00:00,KIDNAPPING,257
12:00:00,SUSPICIOUS OCC,5989
12:00:00,BURGLARY,5062
12:00:00,VANDALISM,4640
12:00:00,MISSING PERSON,4597
12:00:00,FORGERY/COUNTERFEITING,3351
12:00:00,SECONDARY CODES,1567
12:00:00,STOLEN PROPERTY,683
12:00:00,LIQUOR LAWS,202
12:00:00,BAD CHECKS,186
12:00:00,ARSON,112
12:00:00,FAMILY OFFENSES,65
12:00:00,DRUNKENNESS,285
12:00:00,OTHER OFFENSES,20182
12:00:00,NON-CRIMINAL,17551
12:00:00,WARRANTS,5502
12:00:00,TRESPASS,1077
12:00:00,RUNAWAY,248
12:00:00,"SEX OFFENSES, NON FORCIBLE",42
12:00:00,LARCENY/THEFT,27718
12:00:00,EXTORTION,76
12:00:00,LOITERING,109
12:00:00,BRIBERY,42
12:00:00,FRAUD,5025
12:00:00,DISORDERLY CONDUCT,403
12:00:00,WEAPON LAWS,1105
12:00:00,"SEX OFFENSES, FORCIBLE",601
12:00:00,GAMBLING,32
12:00:00,ROBBERY,1963
12:00:00,SUICIDE,68
12:00:00,DRIVING UNDER THE INFLUENCE,58
12:00:00,DRUG/NARCOTIC,6218
13:00:00,SUSPICIOUS OCC,4349
13:00:00,FORGERY/COUNTERFEITING,1426
13:00:00,"SEX OFFENSES, FORCIBLE",421
13:00:00,STOLEN PROPERTY,637
13:00:00,RUNAWAY,220
13:00:00,SUICIDE,72
13:00:00,NON-CRIMINAL,13717
13:00:00,KIDNAPPING,223
13:00:00,BAD CHECKS,46
13:00:00,"SEX OFFENSES, NON FORCIBLE",19
13:00:00,LARCENY/THEFT,24656
13:00:00,WARRANTS,5821
13:00:00,MISSING PERSON,3406
13:00:00,BURGLARY,3329
13:00:00,ROBBERY,2093
13:00:00,WEAPON LAWS,1098
13:00:00,LIQUOR LAWS,198
13:00:00,LOITERING,139
13:00:00,ARSON,120
13:00:00,EMBEZZLEMENT,108
13:00:00,DRIVING UNDER THE INFLUENCE,66
13:00:00,GAMBLING,30
13:00:00,RECOVERED VEHICLE,499
13:00:00,VANDALISM,3600
13:00:00,SECONDARY CODES,1218
13:00:00,DISORDERLY CONDUCT,382
13:00:00,PROSTITUTION,334
13:00:00,EXTORTION,46
13:00:00,OTHER OFFENSES,15554
13:00:00,DRUG/NARCOTIC,7986
13:00:00,FAMILY OFFENSES,91
13:00:00,BRIBERY,43
13:00:00,VEHICLE THEFT,3905
13:00:00,FRAUD,2296
13:00:00,ASSAULT,9120
13:00:00,TRESPASS,986
13:00:00,PORNOGRAPHY/OBSCENE MAT,1
13:00:00,DRUNKENNESS,285
14:00:00,LARCENY/THEFT,25507
14:00:00,DISORDERLY CONDUCT,355
14:00:00,"SEX OFFENSES, NON FORCIBLE",23
14:00:00,OTHER OFFENSES,15710
14:00:00,FRAUD,2146
14:00:00,EMBEZZLEMENT,122
14:00:00,VANDALISM,4077
14:00:00,VEHICLE THEFT,4574
14:00:00,TRESPASS,889
14:00:00,DRUNKENNESS,330
14:00:00,RUNAWAY,213
14:00:00,BRIBERY,41
14:00:00,NON-CRIMINAL,13663
14:00:00,FAMILY OFFENSES,86
14:00:00,DRUG/NARCOTIC,8984
14:00:00,WARRANTS,5968
14:00:00,BAD CHECKS,52
14:00:00,EXTORTION,41
14:00:00,ASSAULT,9279
14:00:00,MISSING PERSON,3554
14:00:00,FORGERY/COUNTERFEITING,1310
14:00:00,SECONDARY CODES,1186
14:00:00,KIDNAPPING,222
14:00:00,LOITERING,130
14:00:00,SUICIDE,70
14:00:00,LIQUOR LAWS,175
14:00:00,ARSON,117
14:00:00,GAMBLING,28
14:00:00,"SEX OFFENSES, FORCIBLE",441
14:00:00,DRIVING UNDER THE INFLUENCE,78
14:00:00,RECOVERED VEHICLE,439
14:00:00,PORNOGRAPHY/OBSCENE MAT,7
14:00:00,SUSPICIOUS OCC,4309
14:00:00,WEAPON LAWS,1096
14:00:00,BURGLARY,3663
14:00:00,ROBBERY,2204
14:00:00,STOLEN PROPERTY,682
14:00:00,PROSTITUTION,307
15:00:00,OTHER OFFENSES,16554
15:00:00,WARRANTS,5888
15:00:00,TRESPASS,967
15:00:00,DISORDERLY CONDUCT,343
15:00:00,BURGLARY,4275
15:00:00,ROBBERY,2528
15:00:00,RECOVERED VEHICLE,386
15:00:00,PROSTITUTION,238
15:00:00,FAMILY OFFENSES,101
15:00:00,NON-CRIMINAL,14323
15:00:00,WEAPON LAWS,1235
15:00:00,EXTORTION,44
15:00:00,LARCENY/THEFT,27096
15:00:00,ASSAULT,10399
15:00:00,DRUG/NARCOTIC,8344
15:00:00,VANDALISM,4801
15:00:00,FORGERY/COUNTERFEITING,1557
15:00:00,DRUNKENNESS,364
15:00:00,RUNAWAY,249
15:00:00,KIDNAPPING,249
15:00:00,EMBEZZLEMENT,138
15:00:00,LOITERING,94
15:00:00,BAD CHECKS,63
15:00:00,"SEX OFFENSES, NON FORCIBLE",28
15:00:00,TREA,1
15:00:00,"SEX OFFENSES, FORCIBLE",565
15:00:00,SUSPICIOUS OCC,4701
15:00:00,FRAUD,2512
15:00:00,DRIVING UNDER THE INFLUENCE,105
15:00:00,PORNOGRAPHY/OBSCENE MAT,2
15:00:00,MISSING PERSON,4101
15:00:00,STOLEN PROPERTY,729
15:00:00,SUICIDE,78
15:00:00,BRIBERY,36
15:00:00,GAMBLING,34
15:00:00,SECONDARY CODES,1357
15:00:00,ARSON,140
15:00:00,LIQUOR LAWS,188
15:00:00,VEHICLE THEFT,5377
16:00:00,FRAUD,2238
16:00:00,KIDNAPPING,265
16:00:00,BAD CHECKS,51
16:00:00,DRUNKENNESS,437
16:00:00,TREA,1
16:00:00,DRIVING UNDER THE INFLUENCE,147
16:00:00,ASSAULT,10239
16:00:00,SUSPICIOUS OCC,4489
16:00:00,PROSTITUTION,289
16:00:00,LIQUOR LAWS,275
16:00:00,OTHER OFFENSES,18201
16:00:00,WARRANTS,6474
16:00:00,VEHICLE THEFT,6399
16:00:00,BURGLARY,4767
16:00:00,RUNAWAY,259
16:00:00,VANDALISM,5316
16:00:00,FORGERY/COUNTERFEITING,1414
16:00:00,RECOVERED VEHICLE,512
16:00:00,LOITERING,139
16:00:00,BRIBERY,48
16:00:00,NON-CRIMINAL,14430
16:00:00,TRESPASS,910
16:00:00,LARCENY/THEFT,28353
16:00:00,SUICIDE,60
16:00:00,ROBBERY,2752
16:00:00,DRUG/NARCOTIC,8714
16:00:00,MISSING PERSON,3709
16:00:00,"SEX OFFENSES, FORCIBLE",554
16:00:00,EMBEZZLEMENT,120
16:00:00,FAMILY OFFENSES,76
16:00:00,EXTORTION,35
16:00:00,"SEX OFFENSES, NON FORCIBLE",20
16:00:00,WEAPON LAWS,1319
16:00:00,STOLEN PROPERTY,752
16:00:00,DISORDERLY CONDUCT,313
16:00:00,ARSON,120
16:00:00,GAMBLING,22
16:00:00,PORNOGRAPHY/OBSCENE MAT,4
16:00:00,SECONDARY CODES,1325
17:00:00,OTHER OFFENSES,18955
17:00:00,MISSING PERSON,3527
17:00:00,ASSAULT,10452
17:00:00,ROBBERY,2721
17:00:00,DRIVING UNDER THE INFLUENCE,183
17:00:00,"SEX OFFENSES, NON FORCIBLE",18
17:00:00,"SEX OFFENSES, FORCIBLE",577
17:00:00,VEHICLE THEFT,8461
17:00:00,EMBEZZLEMENT,142
17:00:00,RUNAWAY,240
17:00:00,LOITERING,170
17:00:00,VANDALISM,7077
17:00:00,FORGERY/COUNTERFEITING,1303
17:00:00,DRUNKENNESS,515
17:00:00,LIQUOR LAWS,445
17:00:00,DISORDERLY CONDUCT,296
17:00:00,KIDNAPPING,264
17:00:00,ARSON,157
17:00:00,PORNOGRAPHY/OBSCENE MAT,1
17:00:00,BURGLARY,6364
17:00:00,SECONDARY CODES,1330
17:00:00,EXTORTION,35
17:00:00,DRUG/NARCOTIC,8938
17:00:00,FRAUD,2299
17:00:00,WEAPON LAWS,1279
17:00:00,PROSTITUTION,600
17:00:00,TRESPASS,941
17:00:00,LARCENY/THEFT,32272
17:00:00,STOLEN PROPERTY,769
17:00:00,BAD CHECKS,42
17:00:00,SUSPICIOUS OCC,4297
17:00:00,FAMILY OFFENSES,68
17:00:00,BRIBERY,55
17:00:00,NON-CRIMINAL,13554
17:00:00,RECOVERED VEHICLE,447
17:00:00,SUICIDE,76
17:00:00,WARRANTS,6586
17:00:00,GAMBLING,24
17:00:00,TREA,1
18:00:00,STOLEN PROPERTY,750
18:00:00,OTHER OFFENSES,17465
18:00:00,"SEX OFFENSES, FORCIBLE",478
18:00:00,LOITERING,149
18:00:00,DRUG/NARCOTIC,7925
18:00:00,SUSPICIOUS OCC,4234
18:00:00,KIDNAPPING,295
18:00:00,FAMILY OFFENSES,62
18:00:00,NON-CRIMINAL,12763
18:00:00,ARSON,153
18:00:00,ASSAULT,10266
18:00:00,BURGLARY,6413
18:00:00,MISSING PERSON,3552
18:00:00,PROSTITUTION,1166
18:00:00,TRESPASS,876
18:00:00,RUNAWAY,312
18:00:00,LARCENY/THEFT,38578
18:00:00,VANDALISM,8402
18:00:00,FORGERY/COUNTERFEITING,874
18:00:00,SUICIDE,66
18:00:00,"SEX OFFENSES, NON FORCIBLE",20
18:00:00,BAD CHECKS,20
18:00:00,VEHICLE THEFT,10340
18:00:00,WARRANTS,5982
18:00:00,FRAUD,2066
18:00:00,DRUNKENNESS,575
18:00:00,EMBEZZLEMENT,115
18:00:00,EXTORTION,30
18:00:00,GAMBLING,22
18:00:00,PORNOGRAPHY/OBSCENE MAT,3
18:00:00,SECONDARY CODES,1445
18:00:00,WEAPON LAWS,1357
18:00:00,DRIVING UNDER THE INFLUENCE,194
18:00:00,BRIBERY,30
18:00:00,ROBBERY,2894
18:00:00,RECOVERED VEHICLE,364
18:00:00,LIQUOR LAWS,354
18:00:00,DISORDERLY CONDUCT,328
19:00:00,ASSAULT,10039
19:00:00,WARRANTS,5222
19:00:00,STOLEN PROPERTY,613
19:00:00,FAMILY OFFENSES,64
19:00:00,TREA,1
19:00:00,LIQUOR LAWS,285
19:00:00,BRIBERY,50
19:00:00,OTHER OFFENSES,14933
19:00:00,VEHICLE THEFT,9031
19:00:00,NON-CRIMINAL,11143
19:00:00,VANDALISM,7619
19:00:00,FRAUD,1590
19:00:00,SECONDARY CODES,1343
19:00:00,FORGERY/COUNTERFEITING,614
