Time,Incident,Totoal Number of Incidents
19:00:00,KIDNAPPING,267
19:00:00,LOITERING,112
19:00:00,EMBEZZLEMENT,81
19:00:00,GAMBLING,14
19:00:00,WEAPON LAWS,1293
19:00:00,ARSON,165
19:00:00,EXTORTION,31
19:00:00,DRUG/NARCOTIC,6754
19:00:00,SUSPICIOUS OCC,3775
19:00:00,ROBBERY,3068
19:00:00,MISSING PERSON,2950
19:00:00,TRESPASS,789
19:00:00,DRUNKENNESS,552
19:00:00,RECOVERED VEHICLE,333
19:00:00,BAD CHECKS,21
19:00:00,"SEX OFFENSES, NON FORCIBLE",14
19:00:00,SUICIDE,71
19:00:00,DISORDERLY CONDUCT,271
19:00:00,RUNAWAY,257
19:00:00,PORNOGRAPHY/OBSCENE MAT,1
19:00:00,DRIVING UNDER THE INFLUENCE,239
19:00:00,LARCENY/THEFT,36160
19:00:00,PROSTITUTION,1363
19:00:00,"SEX OFFENSES, FORCIBLE",452
19:00:00,BURGLARY,4824
20:00:00,ASSAULT,9903
20:00:00,WEAPON LAWS,1168
20:00:00,BAD CHECKS,12
20:00:00,TREA,1
20:00:00,BURGLARY,4214
20:00:00,FRAUD,1393
20:00:00,DRUNKENNESS,573
20:00:00,EMBEZZLEMENT,58
20:00:00,FAMILY OFFENSES,40
20:00:00,VANDALISM,7549
20:00:00,DRUG/NARCOTIC,5129
20:00:00,VEHICLE THEFT,9485
20:00:00,"SEX OFFENSES, FORCIBLE",553
20:00:00,DRIVING UNDER THE INFLUENCE,285
20:00:00,LOITERING,86
20:00:00,FORGERY/COUNTERFEITING,581
20:00:00,NON-CRIMINAL,10325
20:00:00,TRESPASS,755
20:00:00,EXTORTION,20
20:00:00,"SEX OFFENSES, NON FORCIBLE",16
20:00:00,LARCENY/THEFT,31561
20:00:00,ROBBERY,3432
20:00:00,PROSTITUTION,1092
20:00:00,RECOVERED VEHICLE,276
20:00:00,SUICIDE,58
20:00:00,WARRANTS,4214
20:00:00,RUNAWAY,264
20:00:00,ARSON,196
20:00:00,DISORDERLY CONDUCT,253
20:00:00,BRIBERY,45
20:00:00,SECONDARY CODES,1359
20:00:00,OTHER OFFENSES,12811
20:00:00,MISSING PERSON,2849
20:00:00,STOLEN PROPERTY,575
20:00:00,KIDNAPPING,267
20:00:00,LIQUOR LAWS,179
20:00:00,PORNOGRAPHY/OBSCENE MAT,1
20:00:00,SUSPICIOUS OCC,3424
20:00:00,GAMBLING,8
21:00:00,SECONDARY CODES,1350
21:00:00,SUICIDE,68
21:00:00,EMBEZZLEMENT,56
21:00:00,DISORDERLY CONDUCT,289
21:00:00,PORNOGRAPHY/OBSCENE MAT,3
21:00:00,LARCENY/THEFT,26553
21:00:00,"SEX OFFENSES, FORCIBLE",522
21:00:00,WEAPON LAWS,1196
21:00:00,DRUNKENNESS,627
21:00:00,FORGERY/COUNTERFEITING,459
21:00:00,DRIVING UNDER THE INFLUENCE,379
21:00:00,RUNAWAY,213
21:00:00,LOITERING,91
21:00:00,FAMILY OFFENSES,50
21:00:00,GAMBLING,6
21:00:00,OTHER OFFENSES,12867
21:00:00,VEHICLE THEFT,9111
21:00:00,VANDALISM,7683
21:00:00,FRAUD,1141
21:00:00,STOLEN PROPERTY,515
21:00:00,KIDNAPPING,287
21:00:00,LIQUOR LAWS,199
21:00:00,BRIBERY,49
21:00:00,EXTORTION,24
21:00:00,MISSING PERSON,2675
21:00:00,TRESPASS,730
21:00:00,RECOVERED VEHICLE,254
21:00:00,ARSON,194
21:00:00,"SEX OFFENSES, NON FORCIBLE",12
21:00:00,SUSPICIOUS OCC,3410
21:00:00,WARRANTS,4043
21:00:00,BURGLARY,4070
21:00:00,BAD CHECKS,9
21:00:00,ASSAULT,10273
21:00:00,NON-CRIMINAL,10164
21:00:00,DRUG/NARCOTIC,4827
21:00:00,ROBBERY,3873
21:00:00,PROSTITUTION,1287
22:00:00,PROSTITUTION,1593
22:00:00,STOLEN PROPERTY,530
22:00:00,FAMILY OFFENSES,39
22:00:00,GAMBLING,10
22:00:00,PORNOGRAPHY/OBSCENE MAT,6
22:00:00,DISORDERLY CONDUCT,391
22:00:00,BRIBERY,50
22:00:00,FRAUD,1118
22:00:00,SUICIDE,45
22:00:00,NON-CRIMINAL,9975
22:00:00,MISSING PERSON,2619
22:00:00,LARCENY/THEFT,25841
22:00:00,VEHICLE THEFT,9626
22:00:00,VANDALISM,7829
22:00:00,DRUG/NARCOTIC,5766
22:00:00,"SEX OFFENSES, FORCIBLE",568
22:00:00,DRIVING UNDER THE INFLUENCE,512
22:00:00,RUNAWAY,214
22:00:00,LOITERING,56
22:00:00,ASSAULT,9828
22:00:00,TRESPASS,622
22:00:00,BURGLARY,3863
22:00:00,WEAPON LAWS,1307
22:00:00,EMBEZZLEMENT,34
22:00:00,SUSPICIOUS OCC,3260
22:00:00,SECONDARY CODES,1336
22:00:00,FORGERY/COUNTERFEITING,392
22:00:00,EXTORTION,24
22:00:00,TREA,1
22:00:00,ROBBERY,3836
22:00:00,KIDNAPPING,261
22:00:00,BAD CHECKS,9
22:00:00,OTHER OFFENSES,15993
22:00:00,ARSON,236
22:00:00,WARRANTS,4814
22:00:00,DRUNKENNESS,753
22:00:00,RECOVERED VEHICLE,316
22:00:00,LIQUOR LAWS,229
22:00:00,"SEX OFFENSES, NON FORCIBLE",13
23:00:00,ASSAULT,9317
23:00:00,VEHICLE THEFT,8388
23:00:00,ROBBERY,3572
23:00:00,KIDNAPPING,298
23:00:00,FAMILY OFFENSES,40
23:00:00,SUICIDE,39
23:00:00,LARCENY/THEFT,23424
23:00:00,RUNAWAY,178
23:00:00,SUSPICIOUS OCC,2827
23:00:00,PROSTITUTION,1609
23:00:00,SECONDARY CODES,1177
23:00:00,DRUNKENNESS,743
23:00:00,EMBEZZLEMENT,40
23:00:00,EXTORTION,20
23:00:00,GAMBLING,8
23:00:00,NON-CRIMINAL,9162
23:00:00,DRUG/NARCOTIC,4913
23:00:00,BURGLARY,3573
23:00:00,FRAUD,1211
23:00:00,DRIVING UNDER THE INFLUENCE,642
23:00:00,DISORDERLY CONDUCT,414
23:00:00,RECOVERED VEHICLE,317
23:00:00,ARSON,255
23:00:00,LOITERING,74
23:00:00,PORNOGRAPHY/OBSCENE MAT,1
23:00:00,OTHER OFFENSES,15305
23:00:00,WARRANTS,4449
23:00:00,"SEX OFFENSES, FORCIBLE",607
23:00:00,STOLEN PROPERTY,491
23:00:00,LIQUOR LAWS,221
23:00:00,BAD CHECKS,5
23:00:00,FORGERY/COUNTERFEITING,315
23:00:00,VANDALISM,7102
23:00:00,BRIBERY,42
23:00:00,MISSING PERSON,2180
23:00:00,WEAPON LAWS,1208
23:00:00,TRESPASS,547
23:00:00,"SEX OFFENSES, NON FORCIBLE",18
